PERIOD,CREDIT_M,RETAIL_M,INFLATION,DISC_RATE,GOV_DEBT,GOLD_RES,GOLD_RES_USD,EX_RATE_USD,DEPOSITS,TAX_REVENUE,IMF_FINANCING,DEFICIT_M,BoP,GDP
2017M10,988.815,73141.2,1.2,13.5,2046776.6,499406.4807,18735.94,26.655,816 878.0,71220500,0,-31232.2,213.8333333,221439.6667
2017M11,988.864,73807.6,0.9,13.5,2062002.2,505553.9573,18931.06,26.705,819 320.3,87491600,0,-33916.8,213.8333333,221439.6667
2017M12,1016.657,91555.4,1,14.5,2141674.4,517552.1187,18808.45,27.517,876 011.4,76599900,0,42093.8,213.8333333,221439.6667
2018M1,1047.908,68828.4,1.5,16,2131849.5,528313.3876,18580.34,28.434,854 777.0,65786338.3,0,-20514.5,-71.91666667,214068.3333
2018M2,1032.915,65487.2,0.9,17,2068614.3,500225.7179,18410.28,27.171,848 807.2,69249354.1,0,-15268.3,-71.91666667,214068.3333
2018M3,1030.337,75240.9,1.1,17,2053601.3,479192.8379,18191.9,26.341,844 673.6,91154211.6,0,3001.2,-71.91666667,214068.3333
2018M4,1032.134,73752,0.8,17,2020978.1,481758.545,18421.48,26.152,859 942.1,73134418.3,0,-33.2,-71.91666667,240943.6667
2018M5,1036.173,71134.8,0,17,1993016.4,475718.7188,18170.38,26.181,863 186.5,93499615.4,0,-14584.1,-71.91666667,240943.6667
2018M6,1024.964,74556.4,0,17,1998026.9,471074.4911,17978.57,26.202,866 704.0,70210059,0,-10402.1,-71.91666667,240943.6667
2018M7,1044.252,76763,-0.7,17,2025666.5,468556.2357,17747.67,26.401,880 567.0,77069218.8,0,-7517.3,-71.91666667,227506
2018M8,1090.15,75534.7,0,17.5,2116667.8,473510.1881,17229.83,27.482,887 393.3,100735587.2,0,-34356.4,-71.91666667,227506
2018M9,1102.277,78363.6,1.9,18,2112768.6,469033.1188,16637.69,28.191,898 526.3,77180112.9,0,-14513.3,-71.91666667,227506
2018M10,1107.53,80976.3,1.7,18,2093075.5,470764.9742,16737.12,28.127,893 959.8,87651787.7,0,-14425.2,-71.91666667,227506
